"county_areas","region","date","month","year","quarter","homicide_con","offences_against_the_person_con","sexual_offences_con","burglary_con","robbery_con","theft_and_handling_con","fraud_and_forgery_con","criminal_damage_con","drugs_offences_con","public_order_offences_con","all_other_offences_con","motoring_offences_con"
"Avon and Somerset","South West","2014-01-01","Jan",2014,"Q1_2014",0,228,35,49,8,338,18,93,148,123,63,256
"Bedfordshire","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",0,68,2,7,16,75,17,22,31,30,13,171
"Cambridgeshire","East of England","2014-01-01","Jan",2014,"Q1_2014",0,101,10,18,6,148,10,30,47,37,28,103
"Cheshire","Mersey-Cheshire","2014-01-01","Jan",2014,"Q1_2014",0,170,15,38,10,205,14,39,64,77,50,264
"Cleveland","North East","2014-01-01","Jan",2014,"Q1_2014",2,119,11,36,3,334,11,46,65,123,34,228
"Cumbria","North West","2014-01-01","Jan",2014,"Q1_2014",0,113,4,16,1,115,6,38,52,78,52,112
"Derbyshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",0,135,22,36,5,194,15,53,86,59,28,251
"Devon and Cornwall","South West","2014-01-01","Jan",2014,"Q1_2014",0,220,16,25,10,199,18,74,96,83,75,410
"Dorset","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,87,6,20,6,96,4,30,47,42,61,112
"Durham","North East","2014-01-01","Jan",2014,"Q1_2014",1,105,9,28,0,171,20,42,38,82,12,130
"Dyfed Powys","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,69,4,8,3,79,4,30,82,81,19,274
"Essex","East of England","2014-01-01","Jan",2014,"Q1_2014",3,331,11,42,7,327,31,101,111,135,83,215
"Gloucestershire","South West","2014-01-01","Jan",2014,"Q1_2014",0,71,4,20,3,89,9,14,31,25,5,97
"GreaterManchester","North West","2014-01-01","Jan",2014,"Q1_2014",2,478,52,94,34,495,39,143,200,297,179,772
"Gwent","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,85,5,11,2,129,5,38,48,74,21,106
"Hampshire","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,303,19,34,4,317,25,78,187,115,162,245
"Hertfordshire","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",3,113,8,20,4,149,13,27,70,53,28,153
"Humberside","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",0,217,16,29,7,271,16,79,82,128,47,390
