"county_areas","region","date","month","year","quarter","homicide_con","offences_against_the_person_con","sexual_offences_con","burglary_con","robbery_con","theft_and_handling_con","fraud_and_forgery_con","criminal_damage_con","drugs_offences_con","public_order_offences_con","all_other_offences_con","motoring_offences_con"
"National","All Regions","2014-01-01","Jan",2014,"Q1_2014",51,9087,736,1715,522,11057,846,2693,4988,4752,3291,12945
"National","All Regions","2014-02-01","Feb",2014,"Q1_2014",61,8366,712,1549,541,10150,758,2455,4565,3787,3208,12078
"National","All Regions","2014-03-01","Mar",2014,"Q1_2014",57,8595,731,1618,569,10716,814,2413,4649,3920,2994,11155
"National","All Regions","2014-04-01","Apr",2014,"Q2_2014",81,7805,698,1470,517,10045,666,2259,4536,3549,2640,8283
"National","All Regions","2014-05-01","May",2014,"Q2_2014",69,8178,721,1562,532,10146,754,2403,4510,4022,2753,8615
"National","All Regions","2014-06-01","Jun",2014,"Q2_2014",61,8444,778,1467,512,9938,708,2466,4563,4023,2743,8407
"National","All Regions","2014-07-01","Jul",2014,"Q3_2014",80,9662,900,1679,650,10922,785,2645,4890,4586,2799,9117
"National","All Regions","2014-08-01","Aug",2014,"Q3_2014",45,8342,739,1524,484,9119,672,2310,4097,3950,2465,7141
"National","All Regions","2014-09-01","Sep",2014,"Q3_2014",47,9369,853,1491,602,10041,781,2483,4558,4390,2619,8858
"National","All Regions","2014-10-01","Oct",2014,"Q4_2014",59,9506,853,1576,492,10554,810,2605,4741,4481,2780,8695
"National","All Regions","2014-11-01","Nov",2014,"Q4_2014",42,8888,815,1440,529,9157,668,2307,4116,3910,2170,7794
"National","All Regions","2014-12-01","Dec",2014,"Q4_2014",78,8881,818,1483,506,9236,631,2203,3997,3638,1997,7484
"National","All Regions","2015-01-01","Jan",2015,"Q1_2015",49,9627,859,1405,495,9751,761,2489,4370,4211,1934,8408
"National","All Regions","2015-02-01","Feb",2015,"Q1_2015",51,9394,816,1494,494,9788,778,2321,4352,3927,1820,7844
"National","All Regions","2015-03-01","Mar",2015,"Q1_2015",57,10309,946,1621,496,10367,817,2536,4497,4102,2017,8279
"National","All Regions","2015-04-01","Apr",2015,"Q2_2015",84,9554,856,1239,463,9000,769,2321,4078,3606,1927,7768
"National","All Regions","2015-05-01","May",2015,"Q2_2015",63,9260,838,1250,431,8924,678,2264,3794,3483,1733,7534
"National","All Regions","2015-06-01","Jun",2015,"Q2_2015",72,10524,975,1411,477,9711,748,2431,4326,3865,1759,8644
"National","All Regions","2015-07-01","Jul",2015,"Q3_2015",76,10958,981,1430,446,9248,822,2530,4402,3875,1700,8936
"National","All Regions","2015-08-01","Aug",2015,"Q3_2015",52,9508,906,1232,316,8070,729,2235,3804,3386,1555,7702
"National","All Regions","2015-09-01","Sep",2015,"Q3_2015",65,10769,972,1403,468,9015,800,2481,4202,3717,1775,8817
"National","All Regions","2015-10-01","Oct",2015,"Q4_2015",90,11595,942,1527,395,8414,936,2191,4389,3677,780,8266
"National","All Regions","2015-12-01","Dec",2015,"Q4_2015",104,10349,1011,1287,401,7431,888,1881,3830,2956,594,6764
"National","All Regions","2016-01-01","Jan",2016,"Q1_2016",88,11741,971,1371,419,8276,1027,2166,4457,3597,710,7962
"National","All Regions","2016-04-01","Apr",2016,"Q2_2016",125,11455,1149,1278,359,8346,1075,1925,4383,3458,787,7598
"National","All Regions","2016-05-01","May",2016,"Q2_2016",131,10276,1057,1193,374,7831,915,1913,4000,3400,752,7371
"National","All Regions","2016-06-01","Jun",2016,"Q2_2016",112,11080,1091,1152,398,7790,939,2061,4173,3508,793,7729
