"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"National","All Regions","2014-01-01","Jan",2014,"Q1_2014",11,2930,286,284,139,998,137,472,305,797,586,1466,890
"National","All Regions","2014-02-01","Feb",2014,"Q1_2014",18,2891,288,284,163,945,111,427,292,730,597,1425,816
"National","All Regions","2014-03-01","Mar",2014,"Q1_2014",22,3133,320,239,144,943,114,432,295,717,541,1425,633
"National","All Regions","2014-04-01","Apr",2014,"Q2_2014",14,2722,269,226,116,840,108,391,279,654,513,1314,718
"National","All Regions","2014-05-01","May",2014,"Q2_2014",17,2684,310,267,164,1017,127,406,312,711,510,1446,726
"National","All Regions","2014-06-01","Jun",2014,"Q2_2014",18,2927,311,277,132,947,110,436,311,712,547,1361,664
"National","All Regions","2014-07-01","Jul",2014,"Q3_2014",26,3280,374,302,184,1011,143,491,301,742,551,1463,795
"National","All Regions","2014-08-01","Aug",2014,"Q3_2014",14,2833,290,247,140,966,132,426,289,667,454,1294,736
"National","All Regions","2014-09-01","Sep",2014,"Q3_2014",8,3251,336,317,188,998,113,419,310,801,558,1363,793
"National","All Regions","2014-10-01","Oct",2014,"Q4_2014",8,3271,377,310,144,1025,133,465,346,757,603,1473,789
"National","All Regions","2014-11-01","Nov",2014,"Q4_2014",19,3037,343,280,129,897,116,399,279,735,462,1277,756
"National","All Regions","2014-12-01","Dec",2014,"Q4_2014",13,2899,325,222,127,869,99,378,275,636,407,1213,752
"National","All Regions","2015-01-01","Jan",2015,"Q1_2015",14,3235,317,283,145,938,136,446,293,739,471,1439,904
"National","All Regions","2015-02-01","Feb",2015,"Q1_2015",8,3074,356,296,125,841,127,426,256,696,418,1396,735
"National","All Regions","2015-03-01","Mar",2015,"Q1_2015",12,3347,368,263,162,918,162,416,324,781,398,1481,628
"National","All Regions","2015-04-01","Apr",2015,"Q2_2015",11,3111,316,229,123,808,94,392,272,598,305,1338,665
"National","All Regions","2015-05-01","May",2015,"Q2_2015",12,2966,319,223,98,722,118,366,223,642,333,1295,712
"National","All Regions","2015-06-01","Jun",2015,"Q2_2015",23,3568,385,281,112,940,151,471,305,709,358,1703,845
"National","All Regions","2015-07-01","Jul",2015,"Q3_2015",16,3547,437,288,144,866,150,449,294,725,387,1585,1051
"National","All Regions","2015-08-01","Aug",2015,"Q3_2015",22,3052,356,194,112,763,127,363,230,602,297,1432,781
"National","All Regions","2015-09-01","Sep",2015,"Q3_2015",23,3443,376,260,140,825,143,413,290,647,381,1725,927
"National","All Regions","2015-10-01","Oct",2015,"Q4_2015",21,3509,352,248,102,881,163,424,319,696,161,1605,920
"National","All Regions","2015-12-01","Dec",2015,"Q4_2015",20,2884,332,229,79,666,178,354,279,624,107,1136,890
"National","All Regions","2016-01-01","Jan",2016,"Q1_2016",20,3262,367,242,114,757,171,369,303,722,125,1509,963
"National","All Regions","2016-04-01","Apr",2016,"Q2_2016",25,3097,447,256,86,690,180,370,271,638,145,1412,740
"National","All Regions","2016-05-01","May",2016,"Q2_2016",27,2892,415,194,90,701,142,344,265,612,107,1320,720
"National","All Regions","2016-06-01","Jun",2016,"Q2_2016",21,3080,380,224,86,688,137,343,284,659,129,1381,770
"National","All Regions","2016-07-01","Jul",2016,"Q3_2016",35,3087,363,191,103,637,179,337,260,634,128,1317,803
"National","All Regions","2016-08-01","Aug",2016,"Q3_2016",15,3064,362,209,88,640,131,381,267,576,104,1252,771
"National","All Regions","2016-09-01","Sep",2016,"Q3_2016",9,3101,408,199,93,682,153,348,284,562,144,1305,849
"National","All Regions","2016-10-01","Oct",2016,"Q4_2016",27,2865,370,185,105,570,147,353,264,566,97,1273,831
"National","All Regions","2016-11-01","Nov",2016,"Q4_2016",30,2918,489,226,97,612,137,353,270,584,120,1250,838
"National","All Regions","2016-12-01","Dec",2016,"Q4_2016",25,2543,317,179,91,526,115,303,254,478,90,1077,937
"National","All Regions","2017-01-01","Jan",2017,"Q1_2017",21,2844,382,179,126,630,138,310,247,612,117,1158,822
"National","All Regions","2017-02-01","Feb",2017,"Q1_2017",30,2753,372,168,92,570,145,292,236,528,83,1002,756
"National","All Regions","2017-03-01","Mar",2017,"Q1_2017",23,3096,387,226,87,646,150,343,278,556,110,1153,956
"National","All Regions","2017-07-01","Jul",2017,"Q3_2017",25,2622,349,178,92,515,124,238,254,520,108,1257,825
"National","All Regions","2017-08-01","Aug",2017,"Q3_2017",20,2644,337,188,92,579,140,245,283,570,119,1160,948
"National","All Regions","2017-09-01","Sep",2017,"Q3_2017",9,2714,352,175,75,546,139,250,223,508,119,1274,994
"National","All Regions","2017-10-01","Oct",2017,"Q4_2017",22,2581,370,156,105,526,129,255,216,487,112,1204,902
"National","All Regions","2017-11-01","Nov",2017,"Q4_2017",32,2799,333,159,75,514,138,306,251,516,111,1251,873
"National","All Regions","2017-12-01","Dec",2017,"Q4_2017",20,2070,289,107,79,425,105,252,209,373,105,933,894
"National","All Regions","2018-01-01","Jan",2018,"Q1_2018",32,2630,329,181,94,555,125,293,249,516,95,1191,976
"National","All Regions","2018-02-01","Feb",2018,"Q1_2018",17,2437,269,129,71,439,120,261,243,448,94,1196,869
"National","All Regions","2018-03-01","Mar",2018,"Q1_2018",19,2379,287,158,87,480,121,267,260,433,83,1226,963
"National","All Regions","2018-07-01","Jul",2018,"Q3_2018",25,2622,349,178,92,515,124,238,254,520,108,1257,825
"National","All Regions","2018-08-01","Aug",2018,"Q3_2018",20,2644,337,188,92,579,140,245,283,570,119,1160,948
"National","All Regions","2018-09-01","Sep",2018,"Q3_2018",9,2714,352,175,75,546,139,250,223,508,119,1274,994
"National","All Regions","2018-10-01","Oct",2018,"Q4_2018",22,2581,370,156,105,526,129,255,216,487,112,1204,902
"National","All Regions","2018-12-01","Dec",2018,"Q4_2018",20,2070,289,107,79,425,105,252,209,373,105,933,894
