"county_areas","region","date","month","year","quarter","rate_homicide_uns","rate_offences_against_the_person_uns","rate_sexual_offences_uns","rate_burglary_uns","rate_robbery_uns","rate_theft_and_handling_uns","rate_fraud_and_forgery_uns","rate_criminal_damage_uns","rate_drugs_offences_uns","rate_public_order_offences_uns","rate_all_other_offences_uns","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"National","All Regions",2014-01-01,"Jan","2014","Q1_2014",17.7,24.4,28,14.2,21,8.3,13.9,14.9,5.8,14.4,15.1,10.2,100
"National","All Regions",2014-02-01,"Feb","2014","Q1_2014",22.8,25.7,28.8,15.5,23.2,8.5,12.8,14.8,6,16.2,15.7,10.6,100
"National","All Regions",2014-03-01,"Mar","2014","Q1_2014",27.8,26.7,30.4,12.9,20.2,8.1,12.3,15.2,6,15.5,15.3,11.3,100
"National","All Regions",2014-04-01,"Apr","2014","Q2_2014",14.7,25.9,27.8,13.3,18.3,7.7,14,14.8,5.8,15.6,16.3,13.7,100
"National","All Regions",2014-05-01,"May","2014","Q2_2014",19.8,24.7,30.1,14.6,23.6,9.1,14.4,14.5,6.5,15,15.6,14.4,100
"National","All Regions",2014-06-01,"Jun","2014","Q2_2014",22.8,25.7,28.6,15.9,20.5,8.7,13.4,15,6.4,15,16.6,13.9,100
"National","All Regions",2014-07-01,"Jul","2014","Q3_2014",24.5,25.3,29.4,15.2,22.1,8.5,15.4,15.7,5.8,13.9,16.4,13.8,100
"National","All Regions",2014-08-01,"Aug","2014","Q3_2014",23.7,25.4,28.2,13.9,22.4,9.6,16.4,15.6,6.6,14.4,15.6,15.3,100
"National","All Regions",2014-09-01,"Sep","2014","Q3_2014",14.5,25.8,28.3,17.5,23.8,9,12.6,14.4,6.4,15.4,17.6,13.3,100
"National","All Regions",2014-10-01,"Oct","2014","Q4_2014",11.9,25.6,30.7,16.4,22.6,8.9,14.1,15.1,6.8,14.5,17.8,14.5,100
"National","All Regions",2014-11-01,"Nov","2014","Q4_2014",31.1,25.5,29.6,16.3,19.6,8.9,14.8,14.7,6.3,15.8,17.6,14.1,100
"National","All Regions",2014-12-01,"Dec","2014","Q4_2014",14.3,24.6,28.4,13,20.1,8.6,13.6,14.6,6.4,14.9,16.9,13.9,100
"National","All Regions",2015-01-01,"Jan","2015","Q1_2015",22.2,25.2,27,16.8,22.7,8.8,15.2,15.2,6.3,14.9,19.6,14.6,100
"National","All Regions",2015-02-01,"Feb","2015","Q1_2015",13.6,24.7,30.4,16.5,20.2,7.9,14,15.5,5.6,15.1,18.7,15.1,100
"National","All Regions",2015-03-01,"Mar","2015","Q1_2015",17.4,24.5,28,14,24.6,8.1,16.5,14.1,6.7,16,16.5,15.2,100
"National","All Regions",2015-04-01,"Apr","2015","Q2_2015",11.6,24.6,27,15.6,21,8.2,10.9,14.4,6.3,14.2,13.7,14.7,100
"National","All Regions",2015-05-01,"May","2015","Q2_2015",16,24.3,27.6,15.1,18.5,7.5,14.8,13.9,5.6,15.6,16.1,14.7,100
"National","All Regions",2015-06-01,"Jun","2015","Q2_2015",24.2,25.3,28.3,16.6,19,8.8,16.8,16.2,6.6,15.5,16.9,16.5,100
"National","All Regions",2015-07-01,"Jul","2015","Q3_2015",17.4,24.5,30.8,16.8,24.4,8.6,15.4,15.1,6.3,15.8,18.5,15.1,100
"National","All Regions",2015-08-01,"Aug","2015","Q3_2015",29.7,24.3,28.2,13.6,26.2,8.6,14.8,14,5.7,15.1,16,15.7,100
"National","All Regions",2015-09-01,"Sep","2015","Q3_2015",26.1,24.2,27.9,15.6,23,8.4,15.2,14.3,6.5,14.8,17.7,16.4,100
"National","All Regions",2015-10-01,"Oct","2015","Q4_2015",18.9,23.2,27.2,14,20.5,9.5,14.8,16.2,6.8,15.9,17.1,16.3,100
"National","All Regions",2015-12-01,"Dec","2015","Q4_2015",16.1,21.8,24.7,15.1,16.5,8.2,16.7,15.8,6.8,17.4,15.3,14.4,100
"National","All Regions",2016-01-01,"Jan","2016","Q1_2016",18.5,21.7,27.4,15,21.4,8.4,14.3,14.6,6.4,16.7,15,15.9,100
"National","All Regions",2016-04-01,"Apr","2016","Q2_2016",16.7,21.3,28,16.7,19.3,7.6,14.3,16.1,5.8,15.6,15.6,15.7,100
"National","All Regions",2016-05-01,"May","2016","Q2_2016",17.1,22,28.2,14,19.4,8.2,13.4,15.2,6.2,15.3,12.5,15.2,100
"National","All Regions",2016-06-01,"Jun","2016","Q2_2016",15.8,21.8,25.8,16.3,17.8,8.1,12.7,14.3,6.4,15.8,14,15.2,100
"National","All Regions",2016-07-01,"Jul","2016","Q3_2016",25.7,22.9,25.1,14.1,22.8,8.2,15.7,15.5,5.9,16.3,15.5,15.6,100
"National","All Regions",2016-08-01,"Aug","2016","Q3_2016",19.2,22.9,25,16.1,19.3,8.2,13.6,16.3,6.2,14.3,12.8,14.8,100
"National","All Regions",2016-09-01,"Sep","2016","Q3_2016",11,22.4,26.7,13.6,19.8,8.8,14.7,14.9,6.7,14,15.7,15.1,100
"National","All Regions",2016-10-01,"Oct","2016","Q4_2016",22.7,21.7,26.3,13.1,22.4,7.4,13.8,15.8,6.4,15.1,11.8,15.2,100
"National","All Regions",2016-11-01,"Nov","2016","Q4_2016",25.2,21.3,29.3,15.9,23.5,7.7,13.3,16,6.3,15.3,13.8,14.2,100
"National","All Regions",2016-12-01,"Dec","2016","Q4_2016",16.7,22,24.2,14.7,24.3,7.3,13.1,16,6.6,14.7,12.4,13.9,100
"National","All Regions",2017-01-01,"Jan","2017","Q1_2017",20.2,21,26.5,13.1,28.4,7.4,13.1,13.5,5.9,15.5,13.5,12.8,100
"National","All Regions",2017-02-01,"Feb","2017","Q1_2017",28.6,21.6,25.9,12.7,19.8,7.3,13.8,13.8,5.8,15.2,11.1,12.4,100
"National","All Regions",2017-03-01,"Mar","2017","Q1_2017",18.3,21.5,25.6,15.1,18.4,7.4,12.4,15.1,6,14.3,12.1,12.6,100
"National","All Regions",2017-07-01,"Jul","2017","Q3_2017",16.7,20.5,25.4,13.1,19.6,7.8,12.6,11.3,6.6,14.5,12.7,15.7,100
"National","All Regions",2017-08-01,"Aug","2017","Q3_2017",27,20.8,25.3,14.6,19.9,8.6,13.9,12.2,7.6,14.7,13.9,13.9,100
"National","All Regions",2017-09-01,"Sep","2017","Q3_2017",9.2,21.9,25.6,13.3,17.8,8.5,14.6,13,6.2,13.8,14.3,15.6,100
"National","All Regions",2017-10-01,"Oct","2017","Q4_2017",17.3,21.2,26.2,11.8,25.8,7.6,12.9,13.1,5.7,13.6,13,14.2,100
"National","All Regions",2017-11-01,"Nov","2017","Q4_2017",22.2,21.4,25.6,11.8,17.3,7.4,13.3,14.8,6.4,13.9,12.9,14.7,100
"National","All Regions",2017-12-01,"Dec","2017","Q4_2017",20,20.5,25.3,10.9,21.2,7.6,12.7,15.7,6.6,13.2,13.4,13.5,100
"National","All Regions",2018-01-01,"Jan","2018","Q1_2018",26,20.6,25.5,14.2,20.4,8,12.2,13.7,6.2,13.6,10.5,13.1,100
"National","All Regions",2018-02-01,"Feb","2018","Q1_2018",15.3,21.1,23.4,11.1,17.4,7,13,14.4,6.6,14,11.7,14.7,100
"National","All Regions",2018-03-01,"Mar","2018","Q1_2018",16.7,20.9,24.6,13.6,19,7.6,13.1,14.4,7.2,13.8,10.7,14.6,100
"National","All Regions",2018-07-01,"Jul","2018","Q3_2018",16.7,20.5,25.4,13.1,19.6,7.8,12.6,11.3,6.6,14.5,12.7,15.7,100
"National","All Regions",2018-08-01,"Aug","2018","Q3_2018",27,20.8,25.3,14.6,19.9,8.6,13.9,12.2,7.6,14.7,13.9,13.9,100
"National","All Regions",2018-09-01,"Sep","2018","Q3_2018",9.2,21.9,25.6,13.3,17.8,8.5,14.6,13,6.2,13.8,14.3,15.6,100
"National","All Regions",2018-10-01,"Oct","2018","Q4_2018",17.3,21.2,26.2,11.8,25.8,7.6,12.9,13.1,5.7,13.6,13,14.2,100
"National","All Regions",2018-12-01,"Dec","2018","Q4_2018",20,20.5,25.3,10.9,21.2,7.6,12.7,15.7,6.6,13.2,13.4,13.5,100
