"county_areas","region","date","month","year","quarter","rate_homicide_uns","rate_offences_against_the_person_uns","rate_sexual_offences_uns","rate_burglary_uns","rate_robbery_uns","rate_theft_and_handling_uns","rate_fraud_and_forgery_uns","rate_criminal_damage_uns","rate_drugs_offences_uns","rate_public_order_offences_uns","rate_all_other_offences_uns","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Avon and Somerset","South West","2014-01-01","Jan",2014,"Q1_2014",0,21.4,32.7,2,0,8.6,0,13.1,2.6,18.5,12.5,13.5,100
"Bedfordshire","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",100,29.9,33.3,36.4,30.4,5.1,15,26.7,8.8,23.1,13.3,7.1,100
"Cambridgeshire","East of England","2014-01-01","Jan",2014,"Q1_2014",0,17.2,23.1,18.2,40,9.2,28.6,9.1,2.1,5.1,24.3,13.4,100
"Cheshire","Mersey-Cheshire","2014-01-01","Jan",2014,"Q1_2014",0,19,6.3,11.6,0,2.4,6.7,7.1,4.5,9.4,9.1,5.7,100
"Cleveland","North East","2014-01-01","Jan",2014,"Q1_2014",60,27,35.3,5.3,40,8.5,21.4,22,3,18,29.2,6.6,100
"Cumbria","North West","2014-01-01","Jan",2014,"Q1_2014",0,10.3,42.9,0,0,5.7,0,7.3,1.9,2.5,8.8,5.9,100
"Derbyshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",100,30.1,24.1,10,28.6,8.1,0,18.5,9.5,20.3,30,3.5,100
"Devon and Cornwall","South West","2014-01-01","Jan",2014,"Q1_2014",0,22.5,15.8,13.8,0,10.4,10,10.8,5,11.7,15.7,7,100
"Dorset","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,25,53.8,4.8,0,5,0,11.8,9.6,16,18.7,11.8,100
"Durham","North East","2014-01-01","Jan",2014,"Q1_2014",0,21.6,25,12.5,0,10.5,9.1,19.2,2.6,9.9,29.4,6.5,100
"Dyfed Powys","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,17.9,42.9,11.1,50,9.2,0,6.3,5.7,8,5,5.8,100
"Essex","East of England","2014-01-01","Jan",2014,"Q1_2014",0,21.6,35.3,25,22.2,7.1,6.1,10.6,3.5,5.6,8.8,16.3,100
