"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Avon and Somerset","South West","2014-01-01","Jan",2014,"Q1_2014",0,62,17,1,0,32,0,14,4,28,9,40,20
"Bedfordshire","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",1,29,1,4,7,4,3,8,3,9,2,13,12
"Cambridgeshire","East of England","2014-01-01","Jan",2014,"Q1_2014",0,21,3,4,4,15,4,3,1,2,9,16,14
"Cheshire","Mersey-Cheshire","2014-01-01","Jan",2014,"Q1_2014",0,40,1,5,0,5,1,3,3,8,5,16,13
"Cleveland","North East","2014-01-01","Jan",2014,"Q1_2014",3,44,6,2,2,31,3,13,2,27,14,16,3
"Cumbria","North West","2014-01-01","Jan",2014,"Q1_2014",0,13,3,0,0,7,0,3,1,2,5,7,12
"Derbyshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",1,58,7,4,2,17,0,12,9,15,12,9,13
"Devon and Cornwall","South West","2014-01-01","Jan",2014,"Q1_2014",0,64,3,4,0,23,2,9,5,11,14,31,10
"Dorset","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,29,7,1,0,5,0,4,5,8,14,15,7
"Durham","North East","2014-01-01","Jan",2014,"Q1_2014",0,29,3,4,0,20,2,10,1,9,5,9,2
"Dyfed Powys","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,15,3,1,3,8,0,2,5,7,1,17,2
"Essex","East of England","2014-01-01","Jan",2014,"Q1_2014",0,91,6,14,2,25,2,12,4,8,8,42,14
"Gloucestershire","South West","2014-01-01","Jan",2014,"Q1_2014",0,15,1,1,1,0,1,4,2,1,1,7,7
"GreaterManchester","North West","2014-01-01","Jan",2014,"Q1_2014",1,126,20,10,3,35,6,26,12,37,21,53,32
"Gwent","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,34,0,2,2,13,0,4,4,11,4,31,7
"Hampshire","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,83,17,15,3,41,10,24,8,25,29,36,19
"Hertfordshire","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",0,33,6,4,0,24,3,6,6,8,6,29,16
"Humberside","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",1,45,5,5,0,25,3,5,4,10,3,21,10
"Kent","South East","2014-01-01","Jan",2014,"Q1_2014",0,89,4,3,1,34,5,23,4,8,27,22,30
"Lancashire","North West","2014-01-01","Jan",2014,"Q1_2014",0,101,5,9,0,23,1,13,2,31,21,39,33
"Leicestershire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",1,28,6,5,1,9,2,5,2,10,3,11,18
"Lincolnshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",0,21,2,1,0,14,0,3,1,5,10,27,10
"Merseyside","Mersey-Cheshire","2014-01-01","Jan",2014,"Q1_2014",1,83,8,9,3,17,1,7,25,22,13,32,22
"Metropolitan and City","Greater London","2014-01-01","Jan",2014,"Q1_2014",0,549,63,62,59,182,40,62,64,170,106,405,261
"Norfolk","East of England","2014-01-01","Jan",2014,"Q1_2014",0,42,0,0,0,14,3,5,3,10,8,11,15
"Northamptonshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",0,26,0,6,3,15,0,9,4,8,2,7,9
"Northumbria","North East","2014-01-01","Jan",2014,"Q1_2014",0,80,10,11,2,42,2,23,19,27,60,53,17
"North Wales","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,34,4,2,0,9,1,5,0,11,7,14,7
"North Yorkshire","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",0,43,0,1,2,13,4,8,7,10,2,13,3
"Nottinghamshire","East Midlands","2014-01-01","Jan",2014,"Q1_2014",0,73,3,2,1,22,0,7,4,16,14,25,17
"South Wales","Cymru/Wales","2014-01-01","Jan",2014,"Q1_2014",0,111,7,8,0,10,3,12,6,41,12,94,17
"South Yorkshire","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",1,58,2,8,1,30,1,12,10,17,10,17,11
"Staffordshire","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,51,5,5,5,27,2,8,8,21,3,31,11
"Suffolk","East of England","2014-01-01","Jan",2014,"Q1_2014",0,20,0,0,1,9,0,5,0,5,1,12,3
"Surrey","South East","2014-01-01","Jan",2014,"Q1_2014",0,54,4,6,1,22,0,6,5,7,10,21,21
"Sussex","South East","2014-01-01","Jan",2014,"Q1_2014",0,128,11,6,1,22,1,15,13,22,29,22,22
"Thames Valley","Thames and Chiltern","2014-01-01","Jan",2014,"Q1_2014",1,108,6,9,7,36,4,8,8,27,13,33,44
"Warwickshire","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,5,0,2,0,0,1,1,0,6,4,28,5
"West Mercia","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,35,6,4,4,3,1,7,0,17,6,38,6
"West Midlands","West Midlands","2014-01-01","Jan",2014,"Q1_2014",0,178,12,18,15,53,11,31,15,33,39,40,47
"West Yorkshire","Yorkshire and Humberside","2014-01-01","Jan",2014,"Q1_2014",0,159,18,25,3,55,14,32,22,41,19,58,44
"Wiltshire","Oxfordshire","2014-01-01","Jan",2014,"Q1_2014",0,23,1,1,0,7,0,3,4,6,5,5,4
"Avon and Somerset","South West","2014-02-01","Feb",2014,"Q1_2014",0,74,13,12,6,30,2,14,3,23,13,33,25
"Bedfordshire","Thames and Chiltern","2014-02-01","Feb",2014,"Q1_2014",0,26,3,3,1,13,2,4,0,7,1,9,19
"Cambridgeshire","East of England","2014-02-01","Feb",2014,"Q1_2014",0,31,6,4,0,4,1,4,4,6,4,11,13
"Cheshire","Mersey-Cheshire","2014-02-01","Feb",2014,"Q1_2014",0,38,1,2,5,18,0,1,6,10,5,19,13
"Cleveland","North East","2014-02-01","Feb",2014,"Q1_2014",0,37,9,6,9,30,0,19,7,31,5,16,0
"Cumbria","North West","2014-02-01","Feb",2014,"Q1_2014",0,16,1,3,0,2,0,0,2,2,4,9,5
"Derbyshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,49,3,9,2,19,1,7,4,27,14,16,6
"Devon and Cornwall","South West","2014-02-01","Feb",2014,"Q1_2014",1,58,3,4,1,14,1,10,3,16,8,22,9
"Dorset","Oxfordshire","2014-02-01","Feb",2014,"Q1_2014",0,21,2,3,0,7,2,4,3,6,13,10,18
"Durham","North East","2014-02-01","Feb",2014,"Q1_2014",0,33,3,6,0,17,0,4,1,10,6,9,1
"Dyfed Powys","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",0,24,1,1,0,4,0,5,3,6,2,23,4
"Essex","East of England","2014-02-01","Feb",2014,"Q1_2014",0,87,4,6,4,28,3,10,5,9,4,25,23
"Gloucestershire","South West","2014-02-01","Feb",2014,"Q1_2014",1,20,1,0,1,6,0,3,0,2,1,16,14
"GreaterManchester","North West","2014-02-01","Feb",2014,"Q1_2014",2,120,25,11,5,37,3,17,10,26,25,52,22
"Gwent","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",0,48,9,2,4,8,3,8,6,18,1,25,4
"Hampshire","Oxfordshire","2014-02-01","Feb",2014,"Q1_2014",1,88,13,7,6,29,2,19,13,17,23,26,23
